check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status,book_kind
l2_state_space_vs_ema_fill_rate,fill_rate,state_space,ema,increase,12,0.0052228412256267,0.0,0.0114902506963788,0.0052228412256267,0.0,0.0113770891364902,0.25,0.6249999999999994,inconclusive,l2
l3_adaptive_wavelet_vs_ema_sharpe,sharpe,adaptive_wavelet,ema,increase,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,l3
l3_adaptive_wavelet_vs_ema_total_return,total_return,adaptive_wavelet,ema,increase,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,l3
l3_adaptive_wavelet_vs_ema_max_drawdown,max_drawdown,adaptive_wavelet,ema,decrease,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,l3
l3_adaptive_wavelet_vs_ema_fill_rate,fill_rate,adaptive_wavelet,ema,increase,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,l3
l3_adaptive_wavelet_vs_ema_avg_spread_capture_bps,avg_spread_capture_bps,adaptive_wavelet,ema,increase,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,l3
l3_neural_state_space_vs_ema_sharpe,sharpe,neural_state_space,ema,increase,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,l3
l3_neural_state_space_vs_ema_total_return,total_return,neural_state_space,ema,increase,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,l3
l3_neural_state_space_vs_ema_max_drawdown,max_drawdown,neural_state_space,ema,decrease,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,l3
l3_neural_state_space_vs_ema_fill_rate,fill_rate,neural_state_space,ema,increase,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,l3
l3_neural_state_space_vs_ema_avg_spread_capture_bps,avg_spread_capture_bps,neural_state_space,ema,increase,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,l3
l3_state_space_vs_ema_sharpe,sharpe,state_space,ema,increase,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,l3
l3_state_space_vs_ema_total_return,total_return,state_space,ema,increase,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,l3
l3_state_space_vs_ema_max_drawdown,max_drawdown,state_space,ema,decrease,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,l3
l3_state_space_vs_ema_fill_rate,fill_rate,state_space,ema,increase,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,l3
l3_state_space_vs_ema_avg_spread_capture_bps,avg_spread_capture_bps,state_space,ema,increase,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,l3
