check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status
freq_hrl_vs_no_leakage_FocusScore,FocusScore,freq_hrl,no_leakage,increase,35,0.1508560044718359,0.14122484094356164,0.16007194381032933,0.1508560044718359,0.14158842843797112,0.16029444021145065,1.0,5.820766091346754e-11,supported
freq_hrl_vs_no_leakage_LowerLFDrift,LowerLFDrift,freq_hrl,no_leakage,decrease,35,0.8730102425044061,0.8293478123012145,0.9099691662095161,-0.8730102425044061,-0.9097152973436735,-0.8277787555300272,0.0,5.820766091346754e-11,not_supported
freq_hrl_vs_lf_upper_only_sharpe,sharpe,freq_hrl,lf_upper_only,increase,35,0.015105820997494529,-0.0513301623655974,0.1062951718292791,0.015105820997494529,-0.0535171275223011,0.10672178952395787,0.14285714285714285,0.21011352539062506,inconclusive
freq_hrl_vs_lf_upper_only_total_return,total_return,freq_hrl,lf_upper_only,increase,35,9.769537559019627e-05,-0.0006498549041380539,0.0011253347333699628,9.769537559019627e-05,-0.0007010741062694944,0.001153499852247915,0.14285714285714285,0.21011352539062506,inconclusive
freq_hrl_vs_lf_upper_only_FocusScore,FocusScore,freq_hrl,lf_upper_only,increase,35,0.008039049040903334,-0.0014594983895240357,0.01858612500704928,0.008039049040903334,-0.0012934323461498344,0.01959560866916224,0.2571428571428571,0.8036193847656252,inconclusive
freq_hrl_vs_lf_upper_only_LowerLFDrift,LowerLFDrift,freq_hrl,lf_upper_only,decrease,35,-0.015276532981539295,-0.026203697433036802,-0.006288283870720791,0.015276532981539295,0.006151194376267316,0.02637131080636018,0.45714285714285713,3.0517578125000014e-05,supported
freq_hrl_vs_hf_lower_only_sharpe,sharpe,freq_hrl,hf_lower_only,increase,35,18.047175741986905,15.990205829144227,20.0895686056579,18.047175741986905,15.960352960807452,20.157172222569944,1.0,5.820766091346754e-11,supported
freq_hrl_vs_hf_lower_only_total_return,total_return,freq_hrl,hf_lower_only,increase,35,0.16978798592125433,0.1329330394571602,0.2071407102175513,0.16978798592125433,0.13052642298035727,0.20784170531994334,1.0,5.820766091346754e-11,supported
freq_hrl_vs_hf_lower_only_FocusScore,FocusScore,freq_hrl,hf_lower_only,increase,35,0.9219848202270715,0.8829390144165516,0.9607576636268492,0.9219848202270715,0.8836590005725394,0.959107450760272,1.0,5.820766091346754e-11,supported
freq_hrl_vs_hf_lower_only_LowerLFDrift,LowerLFDrift,freq_hrl,hf_lower_only,decrease,35,0.9254213994195489,0.8711453343090863,0.9736952663641278,-0.9254213994195489,-0.9737448161698634,-0.8685288197591514,0.0,5.820766091346754e-11,not_supported
